N. articolo SPAI;N. articolo CEAP;N. articolo C&C;ARTICOLO descrizione;IMBALLAGGIO da pz;UNITA';STOCK SPAI;DATA CONTROLLO stock SPAI  da segr;ELIMINARE ARTICOLO  a fine stock;Quantità MINIMA;OSSERVAZIONI;da ordinare SPAI;Ordinare ? (AUTOMATICO)
P31;;302653404;Post-it colorati 38x52;1;PZ;12;15/26.3.2021;;10;;;NO
P32;;302303020;Post-it colorati 76x76;1;PZ;60;15/26.3.2021;;10;;;NO
P33;;;Post-it colorati 25x76 3pz;1;PZ;7;15/26.3.2021;Si;10;fuori commercio;;No, attendere fine stock ed eliminare articolo
P35;;;Post-it frecce;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
P36;;;Post-it nuvola;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
P37;;;Post-it fiore;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
P38;;;Post-it cuore;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
P4;100000003;;Penne Bic Roller 0.7mm - Nero;12;SC;62;15/26.3.2021;;24;;;NO
P40;100000060;;Post-it gialli 76x76;1;PZ;8;15/26.3.2021;;10;;;SI, 2
P41;100000059;;Post-it gialli 76x102;1;PZ;9;15/26.3.2021;;10;;;SI, 1
P42;;;Post-it gialli 102 x 76;;;;15/26.3.2021;Si;;VEDI P41;;No, attendere fine stock ed eliminare articolo
P43;;302469190;Post-it gialli 102x152 rigati;1;PZ;6;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
P44;100000061;;Post-it gialli 51x76;1;PZ;6;15/26.3.2021;;10;;;SI, 4
P45;;900300001-005;Post it index 25.4x43.2;1;PZ;12;15/26.3.2021;;10;;;NO
P46;;302654330;Post-it 76x76 gialli a Z;1;PZ;103;15/26.3.2021;;20;;;NO
P47;;302654350;Post-it 127x76 mm;1;PZ;14;15/26.3.2021;;10;;;NO
P5;100000004;;Penne Bic Roller 0.7mm - Rosso;12;SC;41;15/26.3.2021;;24;;;NO
P5.1;100000011;;Pennarelli flipchart blu;10;SC;52;15/26.3.2021;;10;;;NO
P5.2;100000009;;Pennarelli flipchart nero;10;SC;53;15/26.3.2021;;10;;;NO
P5.3;10000010;;Pennarelli flipchart rosso;10;SC;52;15/26.3.2021;;10;;;NO
P5.4;;;Pennarello permanente edding 22 verde (flipchart);10;SC;64;15/26.3.2021;Si;10;fuori commercio;;No, attendere fine stock ed eliminare articolo
P50;100000127;;Puntine;;;5;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
P51;;;Portanomi con clip (da 25 pezzi);25;SC;75;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
P53;;;Penne di segnalazione;1;PZ;2;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
P55;100000056;;Cavallieri in metallo per mappette VetroMobil;1;PZ;56;22.04.2021;;10;;;NO
P56;100000100;;Placchette in plastica gialle per mappette VetroMobil;1;PZ;50;22.04.2021;;10;;;NO
P57 ;100000103;;Placchette in plastica blu per mappette VetroMobil;1;PZ;25;22.04.2021;;10;;;NO
P58;100000101;;Placchette in plastica arancioni per mappette VetroMobil;1;PZ;142;15/26.3.2021;;10;;;NO
P59;100000102;;Placchette in plastica rosa per mappette VetroMobil;1;PZ;109;22.04.2021;;10;;;NO
P6;100000005;;Penne Bic Roller 0.7mm - Blu;12;SC;96;22.04.2021;;24;;;NO
P60;;;Placchette in plastica rosse per mappette VetroMobil;1;PZ;36;22.04.2021;Si;10;fuori commercio;;No, attendere fine stock ed eliminare articolo
P61;100000099;;Placchette in plastica incolore per mappette VetroMobil;1;PZ;23;22.04.2021;;10;;;NO
P62;100000104;;Placchette in plastica verdi per mappette VetroMobil;1;PZ;80;15/26.3.2021;;10;;;NO
P7;;;Pennarelli colorati;10;SC;20;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
P8;100000202;;Presa Multipla 6 attacchi bianca;;;;15/26.3.2021;;;vedi custode;;Manca quantità MINIMA
P9;100000200;;Prolunga 5 metri;;;;15/26.3.2021;;;vedi custode;;Manca quantità MINIMA
Q1;100000071;;Quaderni a quadretti 4 mm;;;;15/26.3.2021;;;Vedi custode;;Manca quantità MINIMA
R1;100000162;;Righe 30cm;1;PZ;3;15/26.3.2021;;1;;;NO
R10;;970014009;Rimuovi Graffette;1;PZ;15;15/26.3.2021;;5;;;NO
R2;;532600050;Righe 50cm;1;PZ;5;15/26.3.2021;;1;;;NO
S1;100000149;;Scotch - supporto (810);1;PZ;5;15/26.3.2021;;3;;;NO
S10;100000065;;Separazioni a 6 posizioni per classatore;25;SC;86;15/26.3.2021;;25;;;NO
S11;100000064;;Separazioni a 10 posizioni per classatore;;SC;200;15/26.3.2021;;25;;;NO
S12;;104614120;Separazioni a 12 posizioni per classatore;;SC;166;15/26.3.2021;;25;;;NO
S15;100000062;;Separazioni alfabetiche per classatore;;SC;69;15/26.3.2021;;25;;;NO
S16;100000063;;Separazioni numeriche  1 / 31;;SC;68;15/26.3.2021;;;Interessano a SaG?;;Manca quantità MINIMA
S17;;380720003;Separazioni numeriche 1 / 20;;SC;141;15/26.3.2021;;;Interessano a SaG?;;Manca quantità MINIMA
S18;;380712003;Separazioni numeriche da 1 a 12;;SC;62;15/26.3.2021;;;Interessano a SaG?;;Manca quantità MINIMA
S19;;421315008;Separazioni 1 / 15;;SC;40;15/26.3.2021;;;Interessano a SaG?;;Manca quantità MINIMA
S2;100000146;;Scotch trasparente ricarica (550);1;PZ;19;15/26.3.2021;;10;;;NO
S20;;202069004;Stabilo Boss arancio;;SC;19;15/26.3.2021;;10;;;NO
S21;;202069002;Stabilo Boss celeste;;SC;29;15/26.3.2021;;10;;;NO
S22;;202069001;Stabilo Boss giallo;;SC;6;15/26.3.2021;;10;;;SI, 4
S23;;202069020;Stabilo Boss rosa;;SC;10;15/26.3.2021;;10;;;NO
S25;;;Stabilo Boss lavanda;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
S26;;;Stabilo Boss lilla;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
S27;;202069069;Stabilo Boss turchese;;SC;9;15/26.3.2021;;10;;;SI, 1
S28;;202069020;Stabilo Boss verde;;SC;22;15/26.3.2021;;10;;;NO
S3;100000145;;Scotch biadesivo con supporto;1;PZ;10;15/26.3.2021;;3;;;NO
S30;100000070;;Spugne per lavagna;1;PZ;14;21.04.2021;;10;;;NO
S31;100000165;;Spugne per lavagna bianca RICARICA;1;PZ;10;21.04.2021;;10;;;NO
